Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	Gene name	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene type
ENSG00000137634	ENSG00000137634.10	ENST00000375478	ENST00000375478.4	NXPE4	neurexophilin and PC-esterase domain family member 4 [Source:HGNC Symbol;Acc:HGNC:23117]	11	114570591	114595786	protein_coding
ENSG00000166736	ENSG00000166736.12	ENST00000375498	ENST00000375498.6	HTR3A	5-hydroxytryptamine receptor 3A [Source:HGNC Symbol;Acc:HGNC:5297]	11	113975075	113990313	protein_coding
ENSG00000204381	ENSG00000204381.12	ENST00000375615	ENST00000375615.7	LAYN	layilin [Source:HGNC Symbol;Acc:HGNC:29471]	11	111540280	111561745	protein_coding
ENSG00000183644	ENSG00000183644.14	ENST00000375618	ENST00000375618.9	HOATZ	HOATZ cilia and flagella associated protein [Source:HGNC Symbol;Acc:HGNC:25061]	11	111514778	111537043	protein_coding
ENSG00000110660	ENSG00000110660.15	ENST00000375682	ENST00000375682.8	SLC35F2	solute carrier family 35 member F2 [Source:HGNC Symbol;Acc:HGNC:23615]	11	107790991	107928293	protein_coding
ENSG00000204403	ENSG00000204403.11	ENST00000375726	ENST00000375726.6	CASP12	caspase 12 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:19004]	11	104885718	104898670	protein_coding
ENSG00000086991	ENSG00000086991.13	ENST00000375979	ENST00000375979.7	NOX4	NADPH oxidase 4 [Source:HGNC Symbol;Acc:HGNC:7891]	11	89324353	89498187	protein_coding
ENSG00000150672	ENSG00000150672.19	ENST00000376104	ENST00000376104.7	DLG2	discs large MAGUK scaffold protein 2 [Source:HGNC Symbol;Acc:HGNC:2901]	11	83455012	85628335	protein_coding
ENSG00000159063	ENSG00000159063.14	ENST00000376156	ENST00000376156.7	ALG8	ALG8 alpha-1,3-glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:23161]	11	78095244	78139660	protein_coding
ENSG00000062282	ENSG00000062282.15	ENST00000376262	ENST00000376262.7	DGAT2	diacylglycerol O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16940]	11	75759512	75801535	protein_coding
ENSG00000149243	ENSG00000149243.17	ENST00000376292	ENST00000376292.8	KLHL35	kelch like family member 35 [Source:HGNC Symbol;Acc:HGNC:26597]	11	75422394	75433203	protein_coding
ENSG00000054938	ENSG00000054938.17	ENST00000376332	ENST00000376332.8	CHRDL2	chordin like 2 [Source:HGNC Symbol;Acc:HGNC:24168]	11	74696429	74731426	protein_coding
ENSG00000175575	ENSG00000175575.13	ENST00000376384	ENST00000376384.9	PAAF1	proteasomal ATPase associated factor 1 [Source:HGNC Symbol;Acc:HGNC:25687]	11	73876699	73931114	protein_coding
ENSG00000186642	ENSG00000186642.16	ENST00000376450	ENST00000376450.7	PDE2A	phosphodiesterase 2A [Source:HGNC Symbol;Acc:HGNC:8777]	11	72576141	72674591	protein_coding
ENSG00000085733	ENSG00000085733.16	ENST00000376561	ENST00000376561.7	CTTN	cortactin [Source:HGNC Symbol;Acc:HGNC:3338]	11	70398404	70436584	protein_coding
ENSG00000204583	ENSG00000204583.10	ENST00000376608	ENST00000376608.9	LRCOL1	leucine rich colipase like 1 [Source:HGNC Symbol;Acc:HGNC:44160]	12	132603150	132610582	protein_coding
ENSG00000167799	ENSG00000167799.10	ENST00000376693	ENST00000376693.3	NUDT8	nudix hydrolase 8 [Source:HGNC Symbol;Acc:HGNC:8055]	11	67627938	67629937	protein_coding
ENSG00000172531	ENSG00000172531.16	ENST00000376745	ENST00000376745.9	PPP1CA	protein phosphatase 1 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9281]	11	67398181	67421183	protein_coding
ENSG00000204628	ENSG00000204628.12	ENST00000376817	ENST00000376817.8	RACK1	receptor for activated C kinase 1 [Source:HGNC Symbol;Acc:HGNC:4399]	5	181236897	181248096	protein_coding
ENSG00000165810	ENSG00000165810.17	ENST00000376841	ENST00000376841.6	BTNL9	butyrophilin like 9 [Source:HGNC Symbol;Acc:HGNC:24176]	5	181040225	181061521	protein_coding
ENSG00000174851	ENSG00000174851.16	ENST00000376901	ENST00000376901.9	YIF1A	Yip1 interacting factor homolog A, membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:16688]	11	66284580	66289145	protein_coding
ENSG00000161010	ENSG00000161010.16	ENST00000376931	ENST00000376931.6	MRNIP	MRN complex interacting protein [Source:HGNC Symbol;Acc:HGNC:30817]	5	179835133	179862173	protein_coding
ENSG00000204659	ENSG00000204659.5	ENST00000376974	ENST00000376974.5	CBY3	chibby family member 3 [Source:HGNC Symbol;Acc:HGNC:33278]	5	179678560	179681034	protein_coding
ENSG00000175550	ENSG00000175550.8	ENST00000376991	ENST00000376991.6	DRAP1	DR1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:3019]	11	65919274	65921563	protein_coding
ENSG00000204671	ENSG00000204671.2	ENST00000377035	ENST00000377035.2	IL31	interleukin 31 [Source:HGNC Symbol;Acc:HGNC:19372]	12	122172029	122174221	protein_coding
ENSG00000172977	ENSG00000172977.13	ENST00000377046	ENST00000377046.7	KAT5	lysine acetyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:5275]	11	65711996	65719604	protein_coding
ENSG00000089094	ENSG00000089094.20	ENST00000377071	ENST00000377071.9	KDM2B	lysine demethylase 2B [Source:HGNC Symbol;Acc:HGNC:13610]	12	121429096	121581023	protein_coding
ENSG00000146094	ENSG00000146094.16	ENST00000377112	ENST00000377112.8	DOK3	docking protein 3 [Source:HGNC Symbol;Acc:HGNC:24583]	5	177501904	177511274	protein_coding
ENSG00000162298	ENSG00000162298.19	ENST00000377190	ENST00000377190.8	SYVN1	synoviolin 1 [Source:HGNC Symbol;Acc:HGNC:20738]	11	65121780	65134532	protein_coding
ENSG00000110046	ENSG00000110046.14	ENST00000377264	ENST00000377264.8	ATG2A	autophagy related 2A [Source:HGNC Symbol;Acc:HGNC:29028]	11	64894546	64917209	protein_coding
ENSG00000133895	ENSG00000133895.19	ENST00000377316	ENST00000377316.6	MEN1	menin 1 [Source:HGNC Symbol;Acc:HGNC:7010]	11	64803510	64811294	protein_coding
ENSG00000133895	ENSG00000133895.19	ENST00000377321	ENST00000377321.5	MEN1	menin 1 [Source:HGNC Symbol;Acc:HGNC:7010]	11	64803510	64811294	protein_coding
ENSG00000133895	ENSG00000133895.19	ENST00000377326	ENST00000377326.7	MEN1	menin 1 [Source:HGNC Symbol;Acc:HGNC:7010]	11	64803510	64811294	protein_coding
ENSG00000182132	ENSG00000182132.15	ENST00000377360	ENST00000377360.8	KCNIP1	potassium voltage-gated channel interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:15521]	5	170353487	170736632	protein_coding
ENSG00000204767	ENSG00000204767.4	ENST00000377365	ENST00000377365.4	INSYN2B	inhibitory synaptic factor family member 2B [Source:HGNC Symbol;Acc:HGNC:37271]	5	169861303	169980495	protein_coding
ENSG00000168066	ENSG00000168066.22	ENST00000377387	ENST00000377387.5	SF1	splicing factor 1 [Source:HGNC Symbol;Acc:HGNC:12950]	11	64764606	64778786	protein_coding
ENSG00000168066	ENSG00000168066.22	ENST00000377390	ENST00000377390.8	SF1	splicing factor 1 [Source:HGNC Symbol;Acc:HGNC:12950]	11	64764606	64778786	protein_coding
ENSG00000068831	ENSG00000068831.19	ENST00000377486	ENST00000377486.7	RASGRP2	RAS guanyl releasing protein 2 [Source:HGNC Symbol;Acc:HGNC:9879]	11	64726911	64745456	protein_coding
ENSG00000068831	ENSG00000068831.19	ENST00000377487	ENST00000377487.5	RASGRP2	RAS guanyl releasing protein 2 [Source:HGNC Symbol;Acc:HGNC:9879]	11	64726911	64745456	protein_coding
ENSG00000068831	ENSG00000068831.19	ENST00000377489	ENST00000377489.5	RASGRP2	RAS guanyl releasing protein 2 [Source:HGNC Symbol;Acc:HGNC:9879]	11	64726911	64745456	protein_coding
ENSG00000068831	ENSG00000068831.19	ENST00000377497	ENST00000377497.7	RASGRP2	RAS guanyl releasing protein 2 [Source:HGNC Symbol;Acc:HGNC:9879]	11	64726911	64745456	protein_coding
ENSG00000197891	ENSG00000197891.12	ENST00000377572	ENST00000377572.5	SLC22A12	solute carrier family 22 member 12 [Source:HGNC Symbol;Acc:HGNC:17989]	11	64590641	64602353	protein_coding
ENSG00000197891	ENSG00000197891.12	ENST00000377574	ENST00000377574.6	SLC22A12	solute carrier family 22 member 12 [Source:HGNC Symbol;Acc:HGNC:17989]	11	64590641	64602353	protein_coding
ENSG00000168065	ENSG00000168065.16	ENST00000377581	ENST00000377581.7	SLC22A11	solute carrier family 22 member 11 [Source:HGNC Symbol;Acc:HGNC:18120]	11	64555690	64572875	protein_coding
ENSG00000168065	ENSG00000168065.16	ENST00000377585	ENST00000377585.7	SLC22A11	solute carrier family 22 member 11 [Source:HGNC Symbol;Acc:HGNC:18120]	11	64555690	64572875	protein_coding
ENSG00000204852	ENSG00000204852.17	ENST00000377654	ENST00000377654.5	TCTN1	tectonic family member 1 [Source:HGNC Symbol;Acc:HGNC:26113]	12	110614027	110663431	protein_coding
ENSG00000164574	ENSG00000164574.16	ENST00000377661	ENST00000377661.2	GALNT10	polypeptide N-acetylgalactosaminyltransferase 10 [Source:HGNC Symbol;Acc:HGNC:19873]	5	154190730	154420984	protein_coding
ENSG00000204856	ENSG00000204856.12	ENST00000377673	ENST00000377673.10	FAM216A	family with sequence similarity 216 member A [Source:HGNC Symbol;Acc:HGNC:30180]	12	110468415	110490385	protein_coding
ENSG00000173264	ENSG00000173264.16	ENST00000377702	ENST00000377702.8	GPR137	G protein-coupled receptor 137 [Source:HGNC Symbol;Acc:HGNC:24300]	11	64270062	64289494	protein_coding
ENSG00000197043	ENSG00000197043.15	ENST00000377751	ENST00000377751.9	ANXA6	annexin A6 [Source:HGNC Symbol;Acc:HGNC:544]	5	151100706	151157815	protein_coding
ENSG00000019582	ENSG00000019582.17	ENST00000377795	ENST00000377795.7	CD74	CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697]	5	150401637	150412969	protein_coding
ENSG00000076555	ENSG00000076555.16	ENST00000377854	ENST00000377854.9	ACACB	acetyl-CoA carboxylase beta [Source:HGNC Symbol;Acc:HGNC:85]	12	109116587	109268226	protein_coding
ENSG00000197901	ENSG00000197901.12	ENST00000377871	ENST00000377871.7	SLC22A6	solute carrier family 22 member 6 [Source:HGNC Symbol;Acc:HGNC:10970]	11	62936385	62984967	protein_coding
ENSG00000164270	ENSG00000164270.19	ENST00000377888	ENST00000377888.8	HTR4	5-hydroxytryptamine receptor 4 [Source:HGNC Symbol;Acc:HGNC:5299]	5	148446042	148677235	protein_coding
ENSG00000168003	ENSG00000168003.19	ENST00000377889	ENST00000377889.6	SLC3A2	solute carrier family 3 member 2 [Source:HGNC Symbol;Acc:HGNC:11026]	11	62856004	62888880	protein_coding
ENSG00000162236	ENSG00000162236.13	ENST00000377897	ENST00000377897.8	STX5	syntaxin 5 [Source:HGNC Symbol;Acc:HGNC:11440]	11	62806860	62832051	protein_coding
ENSG00000204909	ENSG00000204909.8	ENST00000377906	ENST00000377906.2	SPINK9	serine peptidase inhibitor Kazal type 9 [Source:HGNC Symbol;Acc:HGNC:32951]	5	148321203	148339852	protein_coding
ENSG00000204928	ENSG00000204928.3	ENST00000377976	ENST00000377976.3	GRXCR2	glutaredoxin and cysteine rich domain containing 2 [Source:HGNC Symbol;Acc:HGNC:33862]	5	145858521	145937126	protein_coding
ENSG00000124942	ENSG00000124942.14	ENST00000378024	ENST00000378024.9	AHNAK	AHNAK nucleoprotein [Source:HGNC Symbol;Acc:HGNC:347]	11	62433542	62556235	protein_coding
ENSG00000167995	ENSG00000167995.17	ENST00000378043	ENST00000378043.9	BEST1	bestrophin 1 [Source:HGNC Symbol;Acc:HGNC:12703]	11	61950063	61965515	protein_coding
ENSG00000113578	ENSG00000113578.18	ENST00000378046	ENST00000378046.5	FGF1	fibroblast growth factor 1 [Source:HGNC Symbol;Acc:HGNC:3665]	5	142592178	142698070	protein_coding
ENSG00000204950	ENSG00000204950.4	ENST00000378075	ENST00000378075.4	LRRC10B	leucine rich repeat containing 10B [Source:HGNC Symbol;Acc:HGNC:37215]	11	61508749	61511018	protein_coding
ENSG00000204954	ENSG00000204954.10	ENST00000378090	ENST00000378090.9	UQCC6	ubiquinol-cytochrome c reductase complex assembly factor 6 [Source:HGNC Symbol;Acc:HGNC:34450]	12	103940763	103965708	protein_coding
ENSG00000204962	ENSG00000204962.6	ENST00000378123	ENST00000378123.4	PCDHA8	protocadherin alpha 8 [Source:HGNC Symbol;Acc:HGNC:8674]	5	140841187	141012347	protein_coding
ENSG00000081842	ENSG00000081842.18	ENST00000378126	ENST00000378126.4	PCDHA6	protocadherin alpha 6 [Source:HGNC Symbol;Acc:HGNC:8672]	5	140827958	141012347	protein_coding
ENSG00000204969	ENSG00000204969.7	ENST00000378132	ENST00000378132.2	PCDHA2	protocadherin alpha 2 [Source:HGNC Symbol;Acc:HGNC:8668]	5	140794852	141012347	protein_coding
ENSG00000204970	ENSG00000204970.10	ENST00000378133	ENST00000378133.4	PCDHA1	protocadherin alpha 1 [Source:HGNC Symbol;Acc:HGNC:8663]	5	140786136	141012347	protein_coding
ENSG00000229183	ENSG00000229183.10	ENST00000378149	ENST00000378149.9	PGA4	pepsinogen A4 [Source:HGNC Symbol;Acc:HGNC:8886]	11	61222347	61231694	protein_coding
ENSG00000204979	ENSG00000204979.8	ENST00000378185	ENST00000378185.6	MS4A13	membrane spanning 4-domains A13 [Source:HGNC Symbol;Acc:HGNC:16674]	11	60515392	60542721	protein_coding
ENSG00000204979	ENSG00000204979.8	ENST00000378186	ENST00000378186.7	MS4A13	membrane spanning 4-domains A13 [Source:HGNC Symbol;Acc:HGNC:16674]	11	60515392	60542721	protein_coding
ENSG00000149131	ENSG00000149131.17	ENST00000378323	ENST00000378323.8	SERPING1	serpin family G member 1 [Source:HGNC Symbol;Acc:HGNC:1228]	11	57597387	57619171	protein_coding
ENSG00000149131	ENSG00000149131.17	ENST00000378324	ENST00000378324.6	SERPING1	serpin family G member 1 [Source:HGNC Symbol;Acc:HGNC:1228]	11	57597387	57619171	protein_coding
ENSG00000132563	ENSG00000132563.17	ENST00000378339	ENST00000378339.7	REEP2	receptor accessory protein 2 [Source:HGNC Symbol;Acc:HGNC:17975]	5	138439057	138446969	protein_coding
ENSG00000146013	ENSG00000146013.11	ENST00000378362	ENST00000378362.3	GFRA3	GDNF family receptor alpha 3 [Source:HGNC Symbol;Acc:HGNC:4245]	5	138252380	138274621	protein_coding
ENSG00000205030	ENSG00000205030.1	ENST00000378397	ENST00000378397.1	OR5L2	olfactory receptor family 5 subfamily L member 2 [Source:HGNC Symbol;Acc:HGNC:8351]	11	55827219	55828154	protein_coding
ENSG00000069018	ENSG00000069018.19	ENST00000378459	ENST00000378459.7	TRPC7	transient receptor potential cation channel subfamily C member 7 [Source:HGNC Symbol;Acc:HGNC:20754]	5	136212745	136365545	protein_coding
ENSG00000066336	ENSG00000066336.12	ENST00000378538	ENST00000378538.8	SPI1	Spi-1 proto-oncogene [Source:HGNC Symbol;Acc:HGNC:11241]	11	47354860	47378547	protein_coding
ENSG00000134574	ENSG00000134574.12	ENST00000378600	ENST00000378600.7	DDB2	damage specific DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2718]	11	47214465	47239217	protein_coding
ENSG00000134574	ENSG00000134574.12	ENST00000378603	ENST00000378603.7	DDB2	damage specific DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2718]	11	47214465	47239217	protein_coding
ENSG00000149179	ENSG00000149179.14	ENST00000378615	ENST00000378615.7	CSTPP1	centriolar satellite-associated tubulin polyglutamylase complex regulator 1 [Source:HGNC Symbol;Acc:HGNC:28720]	11	46936689	47164385	protein_coding
ENSG00000149179	ENSG00000149179.14	ENST00000378618	ENST00000378618.6	CSTPP1	centriolar satellite-associated tubulin polyglutamylase complex regulator 1 [Source:HGNC Symbol;Acc:HGNC:28720]	11	46936689	47164385	protein_coding
ENSG00000134569	ENSG00000134569.10	ENST00000378623	ENST00000378623.6	LRP4	LDL receptor related protein 4 [Source:HGNC Symbol;Acc:HGNC:6696]	11	46856717	46918642	protein_coding
ENSG00000164405	ENSG00000164405.11	ENST00000378665	ENST00000378665.1	UQCRQ	ubiquinol-cytochrome c reductase complex III subunit VII [Source:HGNC Symbol;Acc:HGNC:29594]	5	132866630	132868847	protein_coding
ENSG00000164405	ENSG00000164405.11	ENST00000378667	ENST00000378667.1	UQCRQ	ubiquinol-cytochrome c reductase complex III subunit VII [Source:HGNC Symbol;Acc:HGNC:29594]	5	132866630	132868847	protein_coding
ENSG00000164404	ENSG00000164404.9	ENST00000378673	ENST00000378673.2	GDF9	growth differentiation factor 9 [Source:HGNC Symbol;Acc:HGNC:4224]	5	132861181	132866884	protein_coding
ENSG00000164403	ENSG00000164403.15	ENST00000378676	ENST00000378676.1	SHROOM1	shroom family member 1 [Source:HGNC Symbol;Acc:HGNC:24084]	5	132822141	132830659	protein_coding
ENSG00000173401	ENSG00000173401.10	ENST00000378695	ENST00000378695.9	GLIPR1L1	GLIPR1 like 1 [Source:HGNC Symbol;Acc:HGNC:28392]	12	75334670	75370560	protein_coding
ENSG00000164402	ENSG00000164402.14	ENST00000378699	ENST00000378699.6	SEPTIN8	septin 8 [Source:HGNC Symbol;Acc:HGNC:16511]	5	132750819	132807241	protein_coding
ENSG00000164402	ENSG00000164402.14	ENST00000378701	ENST00000378701.5	SEPTIN8	septin 8 [Source:HGNC Symbol;Acc:HGNC:16511]	5	132750819	132807241	protein_coding
ENSG00000205089	ENSG00000205089.8	ENST00000378731	ENST00000378731.6	CCNI2	cyclin I family member 2 [Source:HGNC Symbol;Acc:HGNC:33869]	5	132747426	132754403	protein_coding
ENSG00000131437	ENSG00000131437.16	ENST00000378735	ENST00000378735.5	KIF3A	kinesin family member 3A [Source:HGNC Symbol;Acc:HGNC:6319]	5	132692628	132737638	protein_coding
ENSG00000153233	ENSG00000153233.13	ENST00000378778	ENST00000378778.5	PTPRR	protein tyrosine phosphatase receptor type R [Source:HGNC Symbol;Acc:HGNC:9680]	12	70638073	70920738	protein_coding
ENSG00000135362	ENSG00000135362.14	ENST00000378867	ENST00000378867.7	PRR5L	proline rich 5 like [Source:HGNC Symbol;Acc:HGNC:25878]	11	36296288	36465204	protein_coding
ENSG00000183060	ENSG00000183060.16	ENST00000378904	ENST00000378904.4	LYSMD4	LysM domain containing 4 [Source:HGNC Symbol;Acc:HGNC:26571]	15	99715697	99733561	protein_coding
ENSG00000111581	ENSG00000111581.10	ENST00000378905	ENST00000378905.6	NUP107	nucleoporin 107 [Source:HGNC Symbol;Acc:HGNC:29914]	12	68686951	68745809	protein_coding
ENSG00000110422	ENSG00000110422.12	ENST00000379016	ENST00000379016.7	HIPK3	homeodomain interacting protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:4915]	11	33256672	33357023	protein_coding
ENSG00000131435	ENSG00000131435.13	ENST00000379018	ENST00000379018.7	PDLIM4	PDZ and LIM domain 4 [Source:HGNC Symbol;Acc:HGNC:16501]	5	132257696	132273454	protein_coding
ENSG00000184937	ENSG00000184937.16	ENST00000379079	ENST00000379079.8	WT1	WT1 transcription factor [Source:HGNC Symbol;Acc:HGNC:12796]	11	32387775	32435564	protein_coding
ENSG00000072682	ENSG00000072682.20	ENST00000379086	ENST00000379086.5	P4HA2	prolyl 4-hydroxylase subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8547]	5	132190147	132295315	protein_coding
ENSG00000072682	ENSG00000072682.20	ENST00000379100	ENST00000379100.7	P4HA2	prolyl 4-hydroxylase subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8547]	5	132190147	132295315	protein_coding
ENSG00000007372	ENSG00000007372.25	ENST00000379107	ENST00000379107.7	PAX6	paired box 6 [Source:HGNC Symbol;Acc:HGNC:8620]	11	31784779	31817961	protein_coding
ENSG00000007372	ENSG00000007372.25	ENST00000379109	ENST00000379109.7	PAX6	paired box 6 [Source:HGNC Symbol;Acc:HGNC:8620]	11	31784779	31817961	protein_coding
ENSG00000007372	ENSG00000007372.25	ENST00000379129	ENST00000379129.7	PAX6	paired box 6 [Source:HGNC Symbol;Acc:HGNC:8620]	11	31784779	31817961	protein_coding
ENSG00000007372	ENSG00000007372.25	ENST00000379132	ENST00000379132.8	PAX6	paired box 6 [Source:HGNC Symbol;Acc:HGNC:8620]	11	31784779	31817961	protein_coding
ENSG00000139263	ENSG00000139263.12	ENST00000379141	ENST00000379141.8	LRIG3	leucine rich repeats and immunoglobulin like domains 3 [Source:HGNC Symbol;Acc:HGNC:30991]	12	58872149	58920504	protein_coding
ENSG00000109911	ENSG00000109911.19	ENST00000379163	ENST00000379163.10	ELP4	elongator acetyltransferase complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:1171]	11	31509755	31790324	protein_coding
ENSG00000205213	ENSG00000205213.14	ENST00000379214	ENST00000379214.9	LGR4	leucine rich repeat containing G protein-coupled receptor 4 [Source:HGNC Symbol;Acc:HGNC:13299]	11	27365961	27472790	protein_coding
ENSG00000172183	ENSG00000172183.16	ENST00000379224	ENST00000379224.10	ISG20	interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130]	15	88635670	88656483	protein_coding
ENSG00000164398	ENSG00000164398.15	ENST00000379240	ENST00000379240.5	ACSL6	acyl-CoA synthetase long chain family member 6 [Source:HGNC Symbol;Acc:HGNC:16496]	5	131949973	132012243	protein_coding
ENSG00000164398	ENSG00000164398.15	ENST00000379244	ENST00000379244.5	ACSL6	acyl-CoA synthetase long chain family member 6 [Source:HGNC Symbol;Acc:HGNC:16496]	5	131949973	132012243	protein_coding
ENSG00000164398	ENSG00000164398.15	ENST00000379246	ENST00000379246.5	ACSL6	acyl-CoA synthetase long chain family member 6 [Source:HGNC Symbol;Acc:HGNC:16496]	5	131949973	132012243	protein_coding
ENSG00000164398	ENSG00000164398.15	ENST00000379255	ENST00000379255.5	ACSL6	acyl-CoA synthetase long chain family member 6 [Source:HGNC Symbol;Acc:HGNC:16496]	5	131949973	132012243	protein_coding
ENSG00000176371	ENSG00000176371.14	ENST00000379358	ENST00000379358.7	ZSCAN2	zinc finger and SCAN domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20994]	15	84600986	84627796	protein_coding
ENSG00000151116	ENSG00000151116.17	ENST00000379387	ENST00000379387.8	UEVLD	UEV and lactate/malate dehyrogenase domains [Source:HGNC Symbol;Acc:HGNC:30866]	11	18529609	18588747	protein_coding
ENSG00000136404	ENSG00000136404.16	ENST00000379390	ENST00000379390.10	TM6SF1	transmembrane 6 superfamily member 1 [Source:HGNC Symbol;Acc:HGNC:11860]	15	83107572	83144854	protein_coding
ENSG00000166881	ENSG00000166881.10	ENST00000379391	ENST00000379391.7	NEMP1	nuclear envelope integral membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:29001]	12	57055643	57088063	protein_coding
ENSG00000064726	ENSG00000064726.10	ENST00000379403	ENST00000379403.2	BTBD1	BTB domain containing 1 [Source:HGNC Symbol;Acc:HGNC:1120]	15	83016423	83067252	protein_coding
ENSG00000188487	ENSG00000188487.12	ENST00000379556	ENST00000379556.8	INSC	INSC spindle orientation adaptor protein [Source:HGNC Symbol;Acc:HGNC:33116]	11	15112424	15247208	protein_coding
ENSG00000164221	ENSG00000164221.13	ENST00000379611	ENST00000379611.10	CCDC112	coiled-coil domain containing 112 [Source:HGNC Symbol;Acc:HGNC:28599]	5	115267190	115296693	protein_coding
ENSG00000152503	ENSG00000152503.10	ENST00000379617	ENST00000379617.2	TRIM36	tripartite motif containing 36 [Source:HGNC Symbol;Acc:HGNC:16280]	5	115124762	115180546	protein_coding
ENSG00000152503	ENSG00000152503.10	ENST00000379618	ENST00000379618.6	TRIM36	tripartite motif containing 36 [Source:HGNC Symbol;Acc:HGNC:16280]	5	115124762	115180546	protein_coding
ENSG00000129625	ENSG00000129625.13	ENST00000379638	ENST00000379638.9	REEP5	receptor accessory protein 5 [Source:HGNC Symbol;Acc:HGNC:30077]	5	112876385	112922289	protein_coding
ENSG00000205328	ENSG00000205328.3	ENST00000379665	ENST00000379665.3	OR6C65	olfactory receptor family 6 subfamily C member 65 [Source:HGNC Symbol;Acc:HGNC:31295]	12	55400529	55401467	protein_coding
ENSG00000205330	ENSG00000205330.4	ENST00000379668	ENST00000379668.3	OR6C1	olfactory receptor family 6 subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:8355]	12	55314343	55322364	protein_coding
ENSG00000145777	ENSG00000145777.15	ENST00000379706	ENST00000379706.4	TSLP	thymic stromal lymphopoietin [Source:HGNC Symbol;Acc:HGNC:30743]	5	111070062	111078026	protein_coding
ENSG00000140506	ENSG00000140506.17	ENST00000379709	ENST00000379709.7	LMAN1L	lectin, mannose binding 1 like [Source:HGNC Symbol;Acc:HGNC:6632]	15	74812716	74825757	protein_coding
ENSG00000140465	ENSG00000140465.15	ENST00000379727	ENST00000379727.8	CYP1A1	cytochrome P450 family 1 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2595]	15	74719542	74725536	protein_coding
ENSG00000145703	ENSG00000145703.17	ENST00000379730	ENST00000379730.7	IQGAP2	IQ motif containing GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:6111]	5	76403285	76708132	protein_coding
ENSG00000135409	ENSG00000135409.11	ENST00000379791	ENST00000379791.7	AMHR2	anti-Mullerian hormone receptor type 2 [Source:HGNC Symbol;Acc:HGNC:465]	12	53423855	53431672	protein_coding
ENSG00000205359	ENSG00000205359.10	ENST00000379807	ENST00000379807.7	SLCO6A1	solute carrier organic anion transporter family member 6A1 [Source:HGNC Symbol;Acc:HGNC:23613]	5	102371774	102499016	protein_coding
ENSG00000170782	ENSG00000170782.3	ENST00000379829	ENST00000379829.2	OR10A4	olfactory receptor family 10 subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:15130]	11	6876625	6877619	protein_coding
ENSG00000111077	ENSG00000111077.18	ENST00000379902	ENST00000379902.7	TNS2	tensin 2 [Source:HGNC Symbol;Acc:HGNC:19737]	12	53046969	53064379	protein_coding
ENSG00000132259	ENSG00000132259.13	ENST00000379936	ENST00000379936.3	CNGA4	cyclic nucleotide gated channel subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:2152]	11	6234765	6244479	protein_coding
ENSG00000205409	ENSG00000205409.3	ENST00000379946	ENST00000379946.2	OR52E6	olfactory receptor family 52 subfamily E member 6 [Source:HGNC Symbol;Acc:HGNC:15215]	11	5840928	5841952	protein_coding
ENSG00000137831	ENSG00000137831.15	ENST00000379983	ENST00000379983.6	UACA	uveal autoantigen with coiled-coil domains and ankyrin repeats [Source:HGNC Symbol;Acc:HGNC:15947]	15	70654554	70763558	protein_coding
ENSG00000178015	ENSG00000178015.5	ENST00000380007	ENST00000380007.3	GPR150	G protein-coupled receptor 150 [Source:HGNC Symbol;Acc:HGNC:23628]	5	95620087	95622142	protein_coding
ENSG00000188779	ENSG00000188779.12	ENST00000380035	ENST00000380035.3	SKOR1	SKI family transcriptional corepressor 1 [Source:HGNC Symbol;Acc:HGNC:21326]	15	67819704	67834582	protein_coding
ENSG00000164176	ENSG00000164176.13	ENST00000380138	ENST00000380138.3	EDIL3	EGF like repeats and discoidin domains 3 [Source:HGNC Symbol;Acc:HGNC:3173]	5	83940554	84384880	protein_coding
ENSG00000175518	ENSG00000175518.8	ENST00000380184	ENST00000380184.2	UBQLNL	ubiquilin like [Source:HGNC Symbol;Acc:HGNC:28294]	11	5514393	5518431	protein_coding
