NCBI GeneID	Symbol	Description	Gene Type
12796	Camp	cathelicidin antimicrobial peptide	PROTEIN_CODING
12803	Cntf	ciliary neurotrophic factor	PROTEIN_CODING
12822	Col18a1	collagen, type XVIII, alpha 1	PROTEIN_CODING
12825	Col3a1	collagen, type III, alpha 1	PROTEIN_CODING
12826	Col4a1	collagen, type IV, alpha 1	PROTEIN_CODING
12827	Col4a2	collagen, type IV, alpha 2	PROTEIN_CODING
12828	Col4a3	collagen, type IV, alpha 3	PROTEIN_CODING
12833	Col6a1	collagen, type VI, alpha 1	PROTEIN_CODING
12846	Comt	catechol-O-methyltransferase	PROTEIN_CODING
12870	Cp	ceruloplasmin	PROTEIN_CODING
12876	Cpe	carboxypeptidase E	PROTEIN_CODING
12894	Cpt1a	carnitine palmitoyltransferase 1a, liver	PROTEIN_CODING
12903	Crabp1	cellular retinoic acid binding protein I	PROTEIN_CODING
12916	Crem	cAMP responsive element modulator	PROTEIN_CODING
12922	Crhr2	corticotropin releasing hormone receptor 2	PROTEIN_CODING
12927	Bcar1	breast cancer anti-estrogen resistance 1	PROTEIN_CODING
12928	Crk	v-crk avian sarcoma virus CT10 oncogene homolog	PROTEIN_CODING
12934	Dpysl2	dihydropyrimidinase-like 2	PROTEIN_CODING
12944	Crp	C-reactive protein, pentraxin-related	PROTEIN_CODING
12951	Crx	cone-rod homeobox	PROTEIN_CODING
12953	Cry2	cryptochrome 2 (photolyase-like)	PROTEIN_CODING
12954	Cryaa	crystallin, alpha A	PROTEIN_CODING
12983	Csf2rb	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)	PROTEIN_CODING
12986	Csf3r	colony stimulating factor 3 receptor (granulocyte)	PROTEIN_CODING
12988	Csk	c-src tyrosine kinase	PROTEIN_CODING
13003	Vcan	versican	PROTEIN_CODING
13010	Cst3	cystatin C	PROTEIN_CODING
13033	Ctsd	cathepsin D	PROTEIN_CODING
13040	Ctss	cathepsin S	PROTEIN_CODING
13043	Cttn	cortactin	PROTEIN_CODING
13048	Cux2	cut-like homeobox 2	PROTEIN_CODING
13070	Cyp11a1	cytochrome P450, family 11, subfamily a, polypeptide 1	PROTEIN_CODING
13074	Cyp17a1	cytochrome P450, family 17, subfamily a, polypeptide 1	PROTEIN_CODING
13076	Cyp1a1	cytochrome P450, family 1, subfamily a, polypeptide 1	PROTEIN_CODING
13077	Cyp1a2	cytochrome P450, family 1, subfamily a, polypeptide 2	PROTEIN_CODING
13078	Cyp1b1	cytochrome P450, family 1, subfamily b, polypeptide 1	PROTEIN_CODING
13082	Cyp26a1	cytochrome P450, family 26, subfamily a, polypeptide 1	PROTEIN_CODING
13087	Cyp2a5	cytochrome P450, family 2, subfamily a, polypeptide 5	PROTEIN_CODING
13115	Cyp27b1	cytochrome P450, family 27, subfamily b, polypeptide 1	PROTEIN_CODING
13122	Cyp7a1	cytochrome P450, family 7, subfamily a, polypeptide 1	PROTEIN_CODING
13132	Dab2	disabled 2, mitogen-responsive phosphoprotein	PROTEIN_CODING
13136	Cd55	CD55 molecule, decay accelerating factor for complement	PROTEIN_CODING
13142	Dao	D-amino acid oxidase	PROTEIN_CODING
13164	Dazl	deleted in azoospermia-like	PROTEIN_CODING
13172	Dbx1	developing brain homeobox 1	PROTEIN_CODING
13190	Dct	dopachrome tautomerase	PROTEIN_CODING
13197	Gadd45a	growth arrest and DNA-damage-inducible 45 alpha	PROTEIN_CODING
13345	Twist2	twist basic helix-loop-helix transcription factor 2	PROTEIN_CODING
13350	Dgat1	diacylglycerol O-acyltransferase 1	PROTEIN_CODING
13361	Dhfr	dihydrofolate reductase	PROTEIN_CODING
13363	Dhh	desert hedgehog	PROTEIN_CODING
13367	Diaph1	diaphanous related formin 1	PROTEIN_CODING
13371	Dio2	deiodinase, iodothyronine, type II	PROTEIN_CODING
13383	Dlg1	discs large MAGUK scaffold protein 1	PROTEIN_CODING
13390	Dlx1	distal-less homeobox 1	PROTEIN_CODING
13393	Dlx3	distal-less homeobox 3	PROTEIN_CODING
13404	Dmc1	DNA meiotic recombinase 1	PROTEIN_CODING
13406	Dmp1	dentin matrix protein 1	PROTEIN_CODING
13409	Tmc1	transmembrane channel-like gene family 1	PROTEIN_CODING
13424	Dync1h1	dynein cytoplasmic 1 heavy chain 1	PROTEIN_CODING
13429	Dnm1	dynamin 1	PROTEIN_CODING
13430	Dnm2	dynamin 2	PROTEIN_CODING
13491	Drd4	dopamine receptor D4	PROTEIN_CODING
13512	Dsg3	desmoglein 3	PROTEIN_CODING
13518	Dst	dystonin	PROTEIN_CODING
13542	Dvl1	dishevelled segment polarity protein 1	PROTEIN_CODING
13543	Dvl2	dishevelled segment polarity protein 2	PROTEIN_CODING
13548	Dyrk1a	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1a	PROTEIN_CODING
13557	E2f3	E2F transcription factor 3	PROTEIN_CODING
13590	Lefty1	left right determination factor 1	PROTEIN_CODING
13591	Ebf1	early B cell factor 1	PROTEIN_CODING
13608	Edar	ectodysplasin-A receptor	PROTEIN_CODING
13610	S1pr3	sphingosine-1-phosphate receptor 3	PROTEIN_CODING
13617	Ednra	endothelin receptor type A	PROTEIN_CODING
13626	Eed	embryonic ectoderm development	PROTEIN_CODING
13640	Efna5	ephrin A5	PROTEIN_CODING
13641	Efnb1	ephrin B1	PROTEIN_CODING
13643	Efnb3	ephrin B3	PROTEIN_CODING
13665	Eif2s1	eukaryotic translation initiation factor 2, subunit 1 alpha	PROTEIN_CODING
13684	Eif4e	eukaryotic translation initiation factor 4E	PROTEIN_CODING
13685	Eif4ebp1	eukaryotic translation initiation factor 4E binding protein 1	PROTEIN_CODING
13717	Eln	elastin	PROTEIN_CODING
13733	Adgre1	adhesion G protein-coupled receptor E1	PROTEIN_CODING
13836	Epha2	Eph receptor A2	PROTEIN_CODING
13841	Epha7	Eph receptor A7	PROTEIN_CODING
13845	Ephb3	Eph receptor B3	PROTEIN_CODING
13846	Ephb4	Eph receptor B4	PROTEIN_CODING
13865	Nr2f1	nuclear receptor subfamily 2, group F, member 1	PROTEIN_CODING
13867	Erbb3	erb-b2 receptor tyrosine kinase 3	PROTEIN_CODING
13870	Ercc1	excision repair cross-complementing rodent repair deficiency, complementation group 1	PROTEIN_CODING
13876	Erg	ETS transcription factor	PROTEIN_CODING
14009	Etv1	ets variant 1	PROTEIN_CODING
14013	Mecom	MDS1 and EVI1 complex locus	PROTEIN_CODING
14042	Ext1	exostosin glycosyltransferase 1	PROTEIN_CODING
14048	Eya1	EYA transcriptional coactivator and phosphatase 1	PROTEIN_CODING
140492	Kcnn2	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2	PROTEIN_CODING
14065	F2rl3	coagulation factor II (thrombin) receptor-like 3	PROTEIN_CODING
14071	F9	coagulation factor IX	PROTEIN_CODING
14073	Faah	fatty acid amide hydrolase	PROTEIN_CODING
14077	Fabp3	fatty acid binding protein 3, muscle and heart	PROTEIN_CODING
140781	Myh7	myosin, heavy polypeptide 7, cardiac muscle, beta	PROTEIN_CODING
14080	Fabp1	fatty acid binding protein 1, liver	PROTEIN_CODING
140806	Il25	interleukin 25	PROTEIN_CODING
14082	Fadd	Fas (TNFRSF6)-associated via death domain	PROTEIN_CODING
14085	Fah	fumarylacetoacetate hydrolase	PROTEIN_CODING
14088	Fancc	Fanconi anemia, complementation group C	PROTEIN_CODING
14104	Fasn	fatty acid synthase	PROTEIN_CODING
14125	Fcer1a	Fc receptor, IgE, high affinity I, alpha polypeptide	PROTEIN_CODING
14128	Fcer2a	Fc receptor, IgE, low affinity II, alpha polypeptide	PROTEIN_CODING
14129	Fcgr1	Fc receptor, IgG, high affinity I	PROTEIN_CODING
14132	Fcgrt	Fc fragment of IgG receptor and transporter	PROTEIN_CODING
14161	Fga	fibrinogen alpha chain	PROTEIN_CODING
14164	Fgf1	fibroblast growth factor 1	PROTEIN_CODING
14170	Fgf15	fibroblast growth factor 15	PROTEIN_CODING
14176	Fgf5	fibroblast growth factor 5	PROTEIN_CODING
14178	Fgf7	fibroblast growth factor 7	PROTEIN_CODING
14180	Fgf9	fibroblast growth factor 9	PROTEIN_CODING
14186	Fgfr4	fibroblast growth factor receptor 4	PROTEIN_CODING
14191	Fgr	FGR proto-oncogene, Src family tyrosine kinase	PROTEIN_CODING
14200	Fhl2	four and a half LIM domains 2	PROTEIN_CODING
14229	Fkbp5	FK506 binding protein 5	PROTEIN_CODING
14234	Foxc2	forkhead box C2	PROTEIN_CODING
14235	Foxm1	forkhead box M1	PROTEIN_CODING
14245	Lpin1	lipin 1	PROTEIN_CODING
14246	Flg	filaggrin	PROTEIN_CODING
14247	Fli1	Friend leukemia integration 1	PROTEIN_CODING
14282	Fosb	FBJ osteosarcoma oncogene B	PROTEIN_CODING
14289	Fpr2	formyl peptide receptor 2	PROTEIN_CODING
14297	Fxn	frataxin	PROTEIN_CODING
14308	Fshb	follicle stimulating hormone beta	PROTEIN_CODING
14309	Fshr	follicle stimulating hormone receptor	PROTEIN_CODING
14313	Fst	follistatin	PROTEIN_CODING
14314	Fstl1	follistatin-like 1	PROTEIN_CODING
14319	Fth1	ferritin heavy polypeptide 1	PROTEIN_CODING
14345	Fut4	fucosyltransferase 4	PROTEIN_CODING
14375	Xrcc6	X-ray repair complementing defective repair in Chinese hamster cells 6	PROTEIN_CODING
14377	G6pc	glucose-6-phosphatase, catalytic	PROTEIN_CODING
14381	G6pdx	glucose-6-phosphate dehydrogenase X-linked	PROTEIN_CODING
14387	Gaa	glucosidase, alpha, acid	PROTEIN_CODING
14395	Gabra2	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2	PROTEIN_CODING
14399	Gabra6	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 6	PROTEIN_CODING
14402	Gabrb3	gamma-aminobutyric acid (GABA) A receptor, subunit beta 3	PROTEIN_CODING
14403	Gabrd	gamma-aminobutyric acid (GABA) A receptor, subunit delta	PROTEIN_CODING
14421	B4galnt1	beta-1,4-N-acetyl-galactosaminyl transferase 1	PROTEIN_CODING
14433	Gapdh	glyceraldehyde-3-phosphate dehydrogenase	PROTEIN_CODING
14456	Gas6	growth arrest specific 6	PROTEIN_CODING
14459	Gast	gastrin	PROTEIN_CODING
14466	Gba	glucosidase, beta, acid	PROTEIN_CODING
14472	Gbx2	gastrulation brain homeobox 2	PROTEIN_CODING
14527	Gcgr	glucagon receptor	PROTEIN_CODING
14539	Opn1mw	opsin 1 (cone pigments), medium-wave-sensitive (color blindness, deutan)	PROTEIN_CODING
14561	Gdf11	growth differentiation factor 11	PROTEIN_CODING
14563	Gdf5	growth differentiation factor 5	PROTEIN_CODING
14566	Gdf9	growth differentiation factor 9	PROTEIN_CODING
14581	Gfi1	growth factor independent 1 transcription repressor	PROTEIN_CODING
14585	Gfra1	glial cell line derived neurotrophic factor family receptor alpha 1	PROTEIN_CODING
14594	Ggta1	glycoprotein galactosyltransferase alpha 1, 3	PROTEIN_CODING
14595	B4galt1	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	PROTEIN_CODING
14601	Ghrh	growth hormone releasing hormone	PROTEIN_CODING
14602	Ghrhr	growth hormone releasing hormone receptor	PROTEIN_CODING
14605	Tsc22d3	TSC22 domain family, member 3	PROTEIN_CODING
14607	Gip	gastric inhibitory polypeptide	PROTEIN_CODING
14612	Gja4	gap junction protein, alpha 4	PROTEIN_CODING
14615	Gjc1	gap junction protein, gamma 1	PROTEIN_CODING
14616	Gja8	gap junction protein, alpha 8	PROTEIN_CODING
14623	Gjb6	gap junction protein, beta 6	PROTEIN_CODING
14630	Gclm	glutamate-cysteine ligase, modifier subunit	PROTEIN_CODING
14645	Glul	glutamate-ammonia ligase (glutamine synthetase)	PROTEIN_CODING
14664	Slc6a9	solute carrier family 6 (neurotransmitter transporter, glycine), member 9	PROTEIN_CODING
14672	Gna11	guanine nucleotide binding protein, alpha 11	PROTEIN_CODING
14681	Gnao1	guanine nucleotide binding protein, alpha O	PROTEIN_CODING
14685	Gnat1	G protein subunit alpha transducin 1	PROTEIN_CODING
14694	Rack1	receptor for activated C kinase 1	PROTEIN_CODING
14705	Bscl2	Berardinelli-Seip congenital lipodystrophy 2 (seipin)	PROTEIN_CODING
14715	Gnrhr	gonadotropin releasing hormone receptor	PROTEIN_CODING
14725	Lrp2	low density lipoprotein receptor-related protein 2	PROTEIN_CODING
14739	S1pr2	sphingosine-1-phosphate receptor 2	PROTEIN_CODING
14745	Lpar1	lysophosphatidic acid receptor 1	PROTEIN_CODING
14783	Grb10	growth factor receptor bound protein 10	PROTEIN_CODING
14805	Grik1	glutamate receptor, ionotropic, kainate 1	PROTEIN_CODING
14806	Grik2	glutamate receptor, ionotropic, kainate 2 (beta 2)	PROTEIN_CODING
14827	Pdia3	protein disulfide isomerase associated 3	PROTEIN_CODING
14829	Grpr	gastrin releasing peptide receptor	PROTEIN_CODING
14836	Gsc	goosecoid homeobox	PROTEIN_CODING
14938	Gzma	granzyme A	PROTEIN_CODING
14960	H2-Aa	histocompatibility 2, class II antigen A, alpha	PROTEIN_CODING
14962	Cfb	complement factor B	PROTEIN_CODING
15078	H3f3a	H3.3 histone A	PROTEIN_CODING
15110	Hand1	heart and neural crest derivatives expressed 1	PROTEIN_CODING
15129	Hbb-b1	hemoglobin, beta adult major chain	PROTEIN_CODING
15162	Hck	hemopoietic cell kinase	PROTEIN_CODING
15165	Hcn1	hyperpolarization activated cyclic nucleotide gated potassium channel 1	PROTEIN_CODING
15166	Hcn2	hyperpolarization-activated, cyclic nucleotide-gated K+ 2	PROTEIN_CODING
15184	Hdac5	histone deacetylase 5	PROTEIN_CODING
15200	Hbegf	heparin-binding EGF-like growth factor	PROTEIN_CODING
15209	Hesx1	homeobox gene expressed in ES cells	PROTEIN_CODING
15212	Hexb	hexosaminidase B	PROTEIN_CODING
15213	Hey1	hairy/enhancer-of-split related with YRPW motif 1	PROTEIN_CODING
15214	Hey2	hairy/enhancer-of-split related with YRPW motif 2	PROTEIN_CODING
15223	Foxj1	forkhead box J1	PROTEIN_CODING
15229	Foxd1	forkhead box D1	PROTEIN_CODING
15235	Mst1	macrophage stimulating 1 (hepatocyte growth factor-like)	PROTEIN_CODING
15242	Hhex	hematopoietically expressed homeobox	PROTEIN_CODING
15277	Hk2	hexokinase 2	PROTEIN_CODING
15361	Hmga1	high mobility group AT-hook 1	PROTEIN_CODING
15364	Hmga2	high mobility group AT-hook 2	PROTEIN_CODING
15369	Hmox2	heme oxygenase 2	PROTEIN_CODING
15375	Foxa1	forkhead box A1	PROTEIN_CODING
15379	Onecut1	one cut domain, family member 1	PROTEIN_CODING
15394	Hoxa1	homeobox A1	PROTEIN_CODING
15395	Hoxa10	homeobox A10	PROTEIN_CODING
15396	Hoxa11	homeobox A11	PROTEIN_CODING
15398	Hoxa13	homeobox A13	PROTEIN_CODING
15399	Hoxa2	homeobox A2	PROTEIN_CODING
15400	Hoxa3	homeobox A3	PROTEIN_CODING
15402	Hoxa5	homeobox A5	PROTEIN_CODING
15405	Hoxa9	homeobox A9	PROTEIN_CODING
15412	Hoxb4	homeobox B4	PROTEIN_CODING
15413	Hoxb5	homeobox B5	PROTEIN_CODING
15416	Hoxb8	homeobox B8	PROTEIN_CODING
15426	Hoxc8	homeobox C8	PROTEIN_CODING
15431	Hoxd11	homeobox D11	PROTEIN_CODING
15432	Hoxd12	homeobox D12	PROTEIN_CODING
15436	Hoxd4	homeobox D4	PROTEIN_CODING
15439	Hp	haptoglobin	PROTEIN_CODING
15442	Hpse	heparanase	PROTEIN_CODING
15450	Lipc	lipase, hepatic	PROTEIN_CODING
15465	Hrh1	histamine receptor H1	PROTEIN_CODING
15469	Prmt1	protein arginine N-methyltransferase 1	PROTEIN_CODING
15481	Hspa8	heat shock protein 8	PROTEIN_CODING
15507	Hspb1	heat shock protein 1	PROTEIN_CODING
15510	Hspd1	heat shock protein 1 (chaperonin)	PROTEIN_CODING
15516	Hsp90ab1	heat shock protein 90 alpha (cytosolic), class B member 1	PROTEIN_CODING
15519	Hsp90aa1	heat shock protein 90, alpha (cytosolic), class A member 1	PROTEIN_CODING
15551	Htr1b	5-hydroxytryptamine (serotonin) receptor 1B	PROTEIN_CODING
15558	Htr2a	5-hydroxytryptamine (serotonin) receptor 2A	PROTEIN_CODING
15559	Htr2b	5-hydroxytryptamine (serotonin) receptor 2B	PROTEIN_CODING
15561	Htr3a	5-hydroxytryptamine (serotonin) receptor 3A	PROTEIN_CODING
15562	Htr4	5 hydroxytryptamine (serotonin) receptor 4	PROTEIN_CODING
15568	Elavl1	ELAV (embryonic lethal, abnormal vision)-like 1 (Hu antigen R)	PROTEIN_CODING
15572	Elavl4	ELAV like RNA binding protein 4	PROTEIN_CODING
15874	Iapp	islet amyloid polypeptide	PROTEIN_CODING
15891	Ibsp	integrin binding sialoprotein	PROTEIN_CODING
15926	Idh1	isocitrate dehydrogenase 1 (NADP+), soluble	PROTEIN_CODING
16007	Ccn1	cellular communication network factor 1	PROTEIN_CODING
16008	Igfbp2	insulin-like growth factor binding protein 2	PROTEIN_CODING
16009	Igfbp3	insulin-like growth factor binding protein 3	PROTEIN_CODING
16011	Igfbp5	insulin-like growth factor binding protein 5	PROTEIN_CODING
16017	Ighg1	immunoglobulin heavy constant gamma 1 (G1m marker)	OTHER
16071	Igkc	immunoglobulin kappa constant	OTHER
16156	Il11	interleukin 11	PROTEIN_CODING
16162	Il12rb2	interleukin 12 receptor, beta 2	PROTEIN_CODING
16169	Il15ra	interleukin 15 receptor, alpha chain	PROTEIN_CODING
16179	Irak1	interleukin-1 receptor-associated kinase 1	PROTEIN_CODING
16182	Il18r1	interleukin 18 receptor 1	PROTEIN_CODING
16185	Il2rb	interleukin 2 receptor, beta chain	PROTEIN_CODING
16194	Il6ra	interleukin 6 receptor, alpha	PROTEIN_CODING
16322	Inha	inhibin alpha	PROTEIN_CODING
16323	Inhba	inhibin beta-A	PROTEIN_CODING
16398	Itga2	integrin alpha 2	PROTEIN_CODING
16399	Itga2b	integrin alpha 2b	PROTEIN_CODING
16400	Itga3	integrin alpha 3	PROTEIN_CODING
16404	Itga7	integrin alpha 7	PROTEIN_CODING
16407	Itgae	integrin alpha E, epithelial-associated	PROTEIN_CODING
16411	Itgax	integrin alpha X	PROTEIN_CODING
16421	Itgb7	integrin beta 7	PROTEIN_CODING
16428	Itk	IL2 inducible T cell kinase	PROTEIN_CODING
16439	Itpr2	inositol 1,4,5-triphosphate receptor 2	PROTEIN_CODING
16440	Itpr3	inositol 1,4,5-triphosphate receptor 3	PROTEIN_CODING
16450	Jag2	jagged 2	PROTEIN_CODING
16451	Jak1	Janus kinase 1	PROTEIN_CODING
16453	Jak3	Janus kinase 3	PROTEIN_CODING
16456	F11r	F11 receptor	PROTEIN_CODING
16477	Junb	jun B proto-oncogene	PROTEIN_CODING
16478	Jund	jun D proto-oncogene	PROTEIN_CODING
16480	Jup	junction plakoglobin	PROTEIN_CODING
16491	Kcna3	potassium voltage-gated channel, shaker-related subfamily, member 3	PROTEIN_CODING
16508	Kcnd2	potassium voltage-gated channel, Shal-related family, member 2	PROTEIN_CODING
16513	Kcnj10	potassium inwardly-rectifying channel, subfamily J, member 10	PROTEIN_CODING
16518	Kcnj2	potassium inwardly-rectifying channel, subfamily J, member 2	PROTEIN_CODING
16526	Kcnk2	potassium channel, subfamily K, member 2	PROTEIN_CODING
16534	Kcnn4	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4	PROTEIN_CODING
16535	Kcnq1	potassium voltage-gated channel, subfamily Q, member 1	PROTEIN_CODING
16568	Kif3a	kinesin family member 3A	PROTEIN_CODING
16592	Fabp5	fatty acid binding protein 5, epidermal	PROTEIN_CODING
16596	Klf1	Kruppel-like factor 1 (erythroid)	PROTEIN_CODING
16598	Klf2	Kruppel-like factor 2 (lung)	PROTEIN_CODING
16661	Krt10	keratin 10	PROTEIN_CODING
16668	Krt18	keratin 18	PROTEIN_CODING
16669	Krt19	keratin 19	PROTEIN_CODING
16678	Krt1	keratin 1	PROTEIN_CODING
16706	Ksr1	kinase suppressor of ras 1	PROTEIN_CODING
16765	Stmn1	stathmin 1	PROTEIN_CODING
16776	Lama5	laminin, alpha 5	PROTEIN_CODING
16777	Lamb1	laminin B1	PROTEIN_CODING
16779	Lamb2	laminin, beta 2	PROTEIN_CODING
16783	Lamp1	lysosomal-associated membrane protein 1	PROTEIN_CODING
16784	Lamp2	lysosomal-associated membrane protein 2	PROTEIN_CODING
16795	Large1	LARGE xylosyl- and glucuronyltransferase 1	PROTEIN_CODING
16797	Lat	linker for activation of T cells	PROTEIN_CODING
16822	Lcp2	lymphocyte cytosolic protein 2	PROTEIN_CODING
16825	Ldb1	LIM domain binding 1	PROTEIN_CODING
16828	Ldha	lactate dehydrogenase A	PROTEIN_CODING
16848	Lfng	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	PROTEIN_CODING
16859	Lgals9	lectin, galactose binding, soluble 9	PROTEIN_CODING
16866	Lhb	luteinizing hormone beta	PROTEIN_CODING
16867	Lhcgr	luteinizing hormone/choriogonadotropin receptor	PROTEIN_CODING
16871	Lhx3	LIM homeobox protein 3	PROTEIN_CODING
16873	Lhx5	LIM homeobox protein 5	PROTEIN_CODING
16874	Lhx6	LIM homeobox protein 6	PROTEIN_CODING
16876	Lhx9	LIM homeobox protein 9	PROTEIN_CODING
16885	Limk1	LIM-domain containing, protein kinase	PROTEIN_CODING
16890	Lipe	lipase, hormone sensitive	PROTEIN_CODING
16906	Lmnb1	lamin B1	PROTEIN_CODING
16909	Lmo2	LIM domain only 2	PROTEIN_CODING
16911	Lmo4	LIM domain only 4	PROTEIN_CODING
16913	Psmb8	proteasome (prosome, macropain) subunit, beta type 8 (large multifunctional peptidase 7)	PROTEIN_CODING
16939	Lor	loricrin	PROTEIN_CODING
16948	Lox	lysyl oxidase	PROTEIN_CODING
16974	Lrp6	low density lipoprotein receptor-related protein 6	PROTEIN_CODING
16975	Lrp8	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor	PROTEIN_CODING
16994	Ltb	lymphotoxin B	PROTEIN_CODING
16995	Ltb4r1	leukotriene B4 receptor 1	PROTEIN_CODING
17002	Ltf	lactotransferrin	PROTEIN_CODING
17022	Lum	lumican	PROTEIN_CODING
17059	Klrb1c	killer cell lectin-like receptor subfamily B member 1C	PROTEIN_CODING
17060	Blnk	B cell linker	PROTEIN_CODING
17075	Epcam	epithelial cell adhesion molecule	PROTEIN_CODING
170788	Crb1	crumbs family member 1, photoreceptor morphogenesis associated	PROTEIN_CODING
170826	Ppargc1b	peroxisome proliferative activated receptor, gamma, coactivator 1 beta	PROTEIN_CODING
17086	Ncr1	natural cytotoxicity triggering receptor 1	PROTEIN_CODING
17087	Ly96	lymphocyte antigen 96	PROTEIN_CODING
171209	Asic3	acid-sensing (proton-gated) ion channel 3	PROTEIN_CODING
171283	Havcr1	hepatitis A virus cellular receptor 1	PROTEIN_CODING
171285	Havcr2	hepatitis A virus cellular receptor 2	PROTEIN_CODING
17132	Maf	avian musculoaponeurotic fibrosarcoma oncogene homolog	PROTEIN_CODING
17136	Mag	myelin-associated glycoprotein	PROTEIN_CODING
17161	Maoa	monoamine oxidase A	PROTEIN_CODING
17164	Mapkapk2	MAP kinase-activated protein kinase 2	PROTEIN_CODING
17171	Mas1	MAS1 oncogene	PROTEIN_CODING
17173	Ascl2	achaete-scute family bHLH transcription factor 2	PROTEIN_CODING
17194	Mbl1	mannose-binding lectin (protein A) 1	PROTEIN_CODING
17199	Mc1r	melanocortin 1 receptor	PROTEIN_CODING
17201	Mc3r	melanocortin 3 receptor	PROTEIN_CODING
17248	Mdm4	transformed mouse 3T3 cell double minute 4	PROTEIN_CODING
17250	Abcc1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	PROTEIN_CODING
17254	Slc3a2	solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2	PROTEIN_CODING
17258	Mef2a	myocyte enhancer factor 2A	PROTEIN_CODING
17261	Mef2d	myocyte enhancer factor 2D	PROTEIN_CODING
17263	Meg3	maternally expressed 3	ncRNA
17268	Meis1	Meis homeobox 1	PROTEIN_CODING
17285	Meox1	mesenchyme homeobox 1	PROTEIN_CODING
17292	Mesp1	mesoderm posterior 1	PROTEIN_CODING
17294	Mest	mesoderm specific transcript	PROTEIN_CODING
17300	Foxc1	forkhead box C1	PROTEIN_CODING
17329	Cxcl9	chemokine (C-X-C motif) ligand 9	PROTEIN_CODING
17339	Mip	major intrinsic protein of lens fiber	PROTEIN_CODING
17341	Bhlha15	basic helix-loop-helix family, member a15	PROTEIN_CODING
17350	Mlh1	mutL homolog 1	PROTEIN_CODING
17356	Afdn	afadin, adherens junction formation factor	PROTEIN_CODING
17380	Mme	membrane metallo endopeptidase	PROTEIN_CODING
17381	Mmp12	matrix metallopeptidase 12	PROTEIN_CODING
17393	Mmp7	matrix metallopeptidase 7	PROTEIN_CODING
17394	Mmp8	matrix metallopeptidase 8	PROTEIN_CODING
17436	Me1	malic enzyme 1, NADP(+)-dependent, cytosolic	PROTEIN_CODING
17441	Mog	myelin oligodendrocyte glycoprotein	PROTEIN_CODING
17451	Mos	Moloney sarcoma oncogene	PROTEIN_CODING
17470	Cd200	CD200 molecule	PROTEIN_CODING
17480	Mpl	myeloproliferative leukemia virus oncogene	PROTEIN_CODING
17528	Mpz	myelin protein zero	PROTEIN_CODING
17533	Mrc1	mannose receptor, C type 1	PROTEIN_CODING
17536	Meis2	Meis homeobox 2	PROTEIN_CODING
17684	Cited2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	PROTEIN_CODING
17690	Msi1	musashi RNA-binding protein 1	PROTEIN_CODING
17755	Map1b	microtubule-associated protein 1B	PROTEIN_CODING
17769	Mthfr	methylenetetrahydrofolate reductase	PROTEIN_CODING
17777	Mttp	microsomal triglyceride transfer protein	PROTEIN_CODING
17831	Muc2	mucin 2	PROTEIN_CODING
17833	Muc5ac	mucin 5, subtypes A and C, tracheobronchial/gastric	PROTEIN_CODING
17840	Mup1	major urinary protein 1	PROTEIN_CODING
17857	Mx1	MX dynamin-like GTPase 1	PROTEIN_CODING
17872	Ppp1r15a	protein phosphatase 1, regulatory subunit 15A	PROTEIN_CODING
17873	Gadd45b	growth arrest and DNA-damage-inducible 45 beta	PROTEIN_CODING
17878	Myf6	myogenic factor 6	PROTEIN_CODING
17880	Myh11	myosin, heavy polypeptide 11, smooth muscle	PROTEIN_CODING
17882	Myh2	myosin, heavy polypeptide 2, skeletal muscle, adult	PROTEIN_CODING
17886	Myh9	myosin, heavy polypeptide 9, non-muscle	PROTEIN_CODING
17898	Myl7	myosin, light polypeptide 7, regulatory	PROTEIN_CODING
17901	Myl1	myosin, light polypeptide 1	PROTEIN_CODING
17920	Myo6	myosin VI	PROTEIN_CODING
17975	Ncl	nucleolin	PROTEIN_CODING
17977	Ncoa1	nuclear receptor coactivator 1	PROTEIN_CODING
17978	Ncoa2	nuclear receptor coactivator 2	PROTEIN_CODING
17979	Ncoa3	nuclear receptor coactivator 3	PROTEIN_CODING
17984	Ndn	necdin, MAGE family member	PROTEIN_CODING
17993	Ndufs4	NADH:ubiquinone oxidoreductase core subunit S4	PROTEIN_CODING
17999	Nedd4	neural precursor cell expressed, developmentally down-regulated 4	PROTEIN_CODING
18010	Neu1	neuraminidase 1	PROTEIN_CODING
18014	Neurog1	neurogenin 1	PROTEIN_CODING
18016	Nf2	neurofibromin 2	PROTEIN_CODING
18021	Nfatc3	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 3	PROTEIN_CODING
18022	Nfe2	nuclear factor, erythroid derived 2	PROTEIN_CODING
